Rank;Codigo_Instituicao;Instituicao;Exportacao_Quant;Exportacao_Valor;Importacao_Quant;Importacao_Valor;Transf_Exterior_Quant;Transf_Exterior_Valor;Transf_pExterior_Quant;Transf_pExterior_Valor;Mercado_Primario_Quant;Mercado_Primario_Valor;Mercado_Interbancario_Quant;Mercado_Interbancario_Valor;Total_Geral_Quant;Total_Geral_Valor;Data_Ref
106;62.285.390;SOCOPA SOCIEDADE CORRETORA PAULISTA S.A.;16.0;608445.0;198.0;5623884.0;151.0;845886.0;930.0;6110056.0;1295.0;13188271.0;668.0;10367452.0;1963.0;23555723.0;2014-00
112;74.828.799;NOVO BANCO CONTINENTAL S.A. - BANCO MÈLTIPLO;29.0;4493832.0;19.0;481327.0;5.0;661000.0;19.0;280345.0;72.0;5916504.0;6.0;12300000.0;78.0;18216504.0;2014-00
113;40.353.377;FOURTRADE CORRETORA DE C∂MBIO LTDA.;29.0;575123.0;154.0;2908967.0;214.0;2394896.0;545.0;5563785.0;942.0;11442771.0;234.0;6611345.0;1176.0;18054116.0;2014-00
116;61.186.680;BANCO BMG S.A.;2.0;1450000.0;;;1.0;25814.0;11.0;897913.0;14.0;2373727.0;5.0;10839823.0;19.0;13213550.0;2014-00
118;14.388.334;PARANµ BANCO S.A.;6.0;3818873.0;;;;;3.0;38629.0;9.0;3857503.0;6.0;7850000.0;15.0;11707503.0;2014-00
120;4.902.979;BANCO DA AMAZONIA S.A.;41.0;3688130.0;24.0;1452145.0;16.0;366741.0;52.0;149942.0;133.0;5656958.0;24.0;4519544.0;157.0;10176502.0;2014-00
122;34.974.170;HOYA CORRETORA DE VALORES E CAMBIO LTDA;5.0;291055.0;26.0;580821.0;26.0;283843.0;655.0;3883819.0;712.0;5039538.0;116.0;4533340.0;828.0;9572878.0;2014-00
124;73.302.408;EXIM CORRETORA DE CAMBIO LTDA;2.0;17994.0;18.0;283270.0;31.0;762999.0;460.0;4193075.0;511.0;5257337.0;206.0;3999867.0;717.0;9257204.0;2014-00
127;76.641.497;DOURADA CORRETORA DE C∂MBIO LTDA.;9.0;415903.0;66.0;1359826.0;141.0;283109.0;1032.0;2090382.0;1248.0;4149220.0;195.0;3682547.0;1443.0;7831766.0;2014-00
129;80.202.872;CORREPARTI CORRETORA DE CAMBIO LTDA;9.0;142648.0;89.0;2743264.0;15.0;128911.0;181.0;561035.0;294.0;3575857.0;160.0;3352138.0;454.0;6927995.0;2014-00
130;19.086.249;EXECUTIVE CORRETORA DE C∂MBIO LTDA.;6.0;31179.0;4.0;75057.0;123.0;536716.0;385.0;3241187.0;518.0;3884138.0;306.0;2911841.0;824.0;6795979.0;2014-00
142;61.033.106;BPN BRASIL BANCO MÈLTIPLO S.A.;1.0;306.0;4.0;79502.0;25.0;1186625.0;16.0;633406.0;46.0;1899840.0;14.0;1624613.0;60.0;3524453.0;2014-00
