Rank;Codigo_Instituicao;Instituicao;Exportacao_Quant;Exportacao_Valor;Importacao_Quant;Importacao_Valor;Transf_Exterior_Quant;Transf_Exterior_Valor;Transf_pExterior_Quant;Transf_pExterior_Valor;Mercado_Primario_Quant;Mercado_Primario_Valor;Mercado_Interbancario_Quant;Mercado_Interbancario_Valor;Total_Geral_Quant;Total_Geral_Valor;Extra;Extra_23
16;53.518.684;BANCO HSBC S.A.;23.0;117892157.0;175.0;425588474.0;97.0;359686225.0;107.0;53189298.0;402.0;956356154.0;343.0;1896552396.0;745.0;2852908550.0;;2022-01
17;59.588.111;BANCO VOTORANTIM S.A.;195.0;228221647.0;1091.0;356035228.0;237.0;285109306.0;572.0;309393096.0;2095.0;1178759276.0;754.0;1588588978.0;2849.0;2767348254.0;;2022-01
18;62.331.228;DEUTSCHE BANK S.A. - BANCO ALEMAO;100.0;248239183.0;204.0;103804508.0;333.0;435473946.0;401.0;271102376.0;1038.0;1058620013.0;362.0;1697667747.0;1400.0;2756287760.0;;2022-01
19;02.801.938;BANCO MORGAN STANLEY S.A.;5.0;80500000.0;5.0;819272.0;493.0;964184941.0;229.0;619374354.0;732.0;1664878567.0;28.0;870000000.0;760.0;2534878567.0;;2022-01
20;28.195.667;BANCO ABC BRASIL S.A.;135.0;95248029.0;362.0;71731150.0;62.0;222371580.0;368.0;248636135.0;927.0;637986895.0;323.0;1656805288.0;1250.0;2294792182.0;;2022-01
21;11.703.662;TRAVELEX BANCO DE CÂMBIO S.A.;769.0;95714364.0;2326.0;81197903.0;2112.0;203087755.0;7211.0;667523342.0;12418.0;1047523364.0;7143.0;853705692.0;19561.0;1901229056.0;;2022-01
22;33.987.793;BANCO DE INVESTIMENTOS CREDIT SUISSE (BRASIL) S.A.;;;;;197.0;582082021.0;215.0;510921439.0;412.0;1093003459.0;62.0;671572489.0;474.0;1764575948.0;;2022-01
23;31.872.495;BANCO C6 S.A.;56.0;67883175.0;681.0;68280607.0;2157.0;209457385.0;25846.0;350881297.0;28740.0;696502463.0;288.0;1031799652.0;29028.0;1728302115.0;;2022-01
24;33.264.668;BANCO XP S.A.;206.0;103024533.0;1841.0;283181830.0;1103.0;325473936.0;3177.0;445252683.0;6327.0;1156932982.0;98.0;569349665.0;6425.0;1726282647.0;;2022-01
25;29.030.467;SCOTIABANK BRASIL S.A. BANCO MÚLTIPLO;13.0;73307000.0;6.0;60535455.0;19.0;496504149.0;92.0;17412643.0;130.0;647759248.0;60.0;795612197.0;190.0;1443371444.0;;2022-01
26;78.632.767;BANCO OURINVEST S.A.;922.0;101700481.0;2237.0;241696345.0;12598.0;130781914.0;40013.0;301887076.0;55770.0;776065816.0;7117.0;578812014.0;62887.0;1354877829.0;;2022-01
27;68.900.810;BANCO RENDIMENTO S.A.;50.0;5942219.0;207.0;101717068.0;328018.0;430675875.0;3370.0;72478470.0;331645.0;610813632.0;8740.0;711012485.0;340385.0;1321826117.0;;2022-01
